file,classifications.SupportedRear.time,classifications.SupportedRear.count,classifications.None.time,classifications.None.count,classifications.UnsupportedRear.time,classifications.UnsupportedRear.count,bodycentre.raw.distance,bodycentre.distance.moving,bodycentre.raw.speed,bodycentre.speed.moving,bodycentre.time.moving,bodycentre.total.time,bodycentre.time.stationary,bodycentre.percentage.moving,bodycentre.light.raw.distance,bodycentre.light.distance.moving,bodycentre.light.raw.speed,bodycentre.light.speed.moving,bodycentre.light.time.moving,bodycentre.light.total.time,bodycentre.light.time.stationary,bodycentre.light.percentage.moving,bodycentre.light.transitions,bodycentre.dark.raw.distance,bodycentre.dark.distance.moving,bodycentre.dark.raw.speed,bodycentre.dark.speed.moving,bodycentre.dark.time.moving,bodycentre.dark.total.time,bodycentre.dark.time.stationary,bodycentre.dark.percentage.moving,bodycentre.dark.transitions,bodycentre..transitions.light.to.dark,bodycentre.latency.to.entry.dark
11_03_A_250701105651DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,181.76,106.5,402.68,112.5,8,15,4610.442089,3719.026333,7.771630518,11.63650292,319.6,593.24,273.64,53.87364304,1840.029568,1546.508256,8.414256301,12.59371544,122.8,218.68,95.88,56.15511249,61,2736.389248,2152.154913,7.462608401,11.08900924,194.08,366.68,172.6,52.9289844,75,28,11.52
10_02_A_250701105628DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,218.64,125.5,364.32,133.5,9.92,13,4674.483523,3787.764389,7.873742628,12.24228956,309.4,593.68,284.28,52.11561784,1397.832774,1166.377057,8.96736447,13.09359067,89.08,155.88,66.8,57.14652297,51,3226.906957,2600.690417,7.583443685,11.96269741,217.4,425.52,208.12,51.09043053,73,21,0.04
09_01_A_250701105557DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,143.44,91.5,432.4,114.5,16.52,28,4879.919939,4068.837227,8.226987557,12.4398839,327.08,593.16,266.08,55.14195158,2127.37465,1754.394539,8.010900171,12.92276472,135.76,265.56,129.8,51.12215695,51,2730.729429,2307.360553,8.521811975,12.15167766,189.88,320.44,130.56,59.25602297,59,24,3.44
08_04_A_250701103520DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,216.88,107.5,364.32,113.5,10.92,13,5382.43838,4666.2945,9.077849255,12.81385792,364.16,592.92,228.76,61.41806652,2197.215256,1896.723749,9.37378522,13.81646088,137.28,234.4,97.12,58.5665529,71,3168.291899,2764.411228,8.944923487,12.22109296,226.2,354.2,128,63.86222473,65,30,0.04
07_03_A_250701103453DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,212.64,103.5,374.04,109.5,6.04,11,4606.521577,3725.350115,7.761358634,12.45936493,299,593.52,294.52,50.37740935,1574.874807,1337.907147,8.935966904,13.53609012,98.84,176.24,77.4,56.08261462,63,2976.17828,2367.440236,7.38432483,11.99797403,197.32,403.04,205.72,48.95791981,63,22,15.56
06_02_A_250701103433DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,235,129,356.2,132,1.76,3,6153.014149,5486.578081,10.36279667,14.01782852,391.4,593.76,202.36,65.91888979,2182.540405,2010.385246,11.76191208,15.3090561,131.32,185.56,54.24,70.76956241,91,3862.051893,3408.193113,9.995993098,13.56980854,251.16,386.36,135.2,65.00672948,125,39,0.04
05_01_A_250701103414DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,206.72,124,383.04,128,2.28,5,4883.239112,4023.203176,8.237027043,12.9197276,311.4,592.84,281.44,52.52682005,1718.705031,1468.37751,9.236376994,13.76431862,106.68,186.08,79.4,57.33018057,79,3121.37062,2541.477525,7.883045308,12.54678873,202.56,395.96,193.4,51.15668249,87,34,0.04
04_04_A_250701101048DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,169.84,92,411.28,106,11.24,19,3786.72224,2866.733946,6.383981118,11.06505306,259.08,593.16,334.08,43.67792838,1627.237748,1337.115367,7.469875819,12.08091224,110.68,217.84,107.16,50.80793243,55,2141.950585,1526.504666,5.78467804,10.32538329,147.84,370.28,222.44,39.92654208,45,21,0.04
03_03_A_250701101017DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,194.44,106,392.16,110,5.8,8,4564.285335,3659.507722,7.694344799,12.22770557,299.28,593.2,293.92,50.45178692,2267.251698,1844.190655,8.134513842,12.53869088,147.08,278.72,131.64,52.76980482,94,2220.174075,1792.217728,7.587744619,12.02185221,149.08,292.6,143.52,50.95010253,66,27,5.8
02_02_A_250701100948DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,243.2,146.5,339.8,148.5,9.28,12,5973.906437,5285.953956,10.07268233,13.59556059,388.8,593.08,204.28,65.55608012,2382.025846,2172.100682,11.61510555,14.97587343,145.04,205.08,60.04,70.72362005,99,3560.604964,3097.551671,9.323884372,12.83799598,241.28,381.88,140.6,63.18215146,99,45,2
01_01_A_250701100859DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,208.24,122,374.96,131,9.24,15,4509.813052,3635.031527,7.602004335,11.75624685,309.2,593.24,284.04,52.12055829,1628.059628,1356.037766,8.284447528,12.84126672,105.6,196.52,90.92,53.73498881,68,2841.658215,2263.643532,7.335204479,11.23284801,201.52,387.4,185.88,52.01858544,72,29,3.76
