file,classifications.background.time,classifications.background.count,classifications.SupportedRear.time,classifications.SupportedRear.count,classifications.Grooming.time,classifications.Grooming.count,classifications.UnsupportedRear.time,classifications.UnsupportedRear.count,bodycentre.raw.distance,bodycentre.distance.moving,bodycentre.raw.speed,bodycentre.speed.moving,bodycentre.time.moving,bodycentre.total.time,bodycentre.time.stationary,bodycentre.percentage.moving,bodycentre.center.raw.distance,bodycentre.center.distance.moving,bodycentre.center.raw.speed,bodycentre.center.speed.moving,bodycentre.center.time.moving,bodycentre.center.total.time,bodycentre.center.time.stationary,bodycentre.center.percentage.moving,bodycentre.center.transitions,bodycentre.periphery.raw.distance,bodycentre.periphery.distance.moving,bodycentre.periphery.raw.speed,bodycentre.periphery.speed.moving,bodycentre.periphery.time.moving,bodycentre.periphery.total.time,bodycentre.periphery.time.stationary,bodycentre.periphery.percentage.moving,bodycentre.periphery.transitions,bodycentre.corners.raw.distance,bodycentre.corners.distance.moving,bodycentre.corners.raw.speed,bodycentre.corners.speed.moving,bodycentre.corners.time.moving,bodycentre.corners.total.time,bodycentre.corners.time.stationary,bodycentre.corners.percentage.moving,bodycentre.corners.transitions
13_01_A_250630105333DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,435.16,150,124.48,115,14.04,16,19.2,32,5936.070893,5120.914092,9.998771886,15.66987176,326.8,593.68,266.88,55.04648969,606.3305511,594.5466234,18.76022745,20.9642674,28.36,32.32,3.96,87.74752475,72,3640.785954,2955.347385,8.528827665,14.0864985,209.8,426.88,217.08,49.14730135,166,1785.130611,1390.956419,7.707817838,12.99473486,107.04,231.6,124.56,46.21761658,168
12_04_A_250630103350DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,451.16,110.5,118.32,96.5,18.16,13,5.32,10,6245.280524,5557.291852,10.51819005,15.70566316,353.84,593.76,239.92,59.59310159,593.5569235,577.3443793,16.88159623,21.70467591,26.6,35.16,8.56,75.65415245,54,4456.979763,3819.730154,9.174515773,14.26549953,267.76,485.8,218.04,55.11733224,126,2004.000516,1601.714456,7.404672318,11.79118416,135.84,270.64,134.8,50.19213716,195
11_03_A_250630103326DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,445.56,114,123.44,93,12.08,5,11.16,19,6531.454955,5941.011495,11.01351503,14.83620891,400.44,593.04,192.6,67.52326993,1013.661837,974.4672588,15.18367042,17.88669711,54.48,66.76,12.28,81.60575195,92,3774.691743,3280.468262,9.317465794,13.06334924,251.12,405.12,154,61.98657188,168,1641.202424,1311.878763,7.510536447,11.73835686,111.76,218.52,106.76,51.14406004,178
10_02_A_250630103243DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,433.48,127.5,133.96,102.5,12.52,11,12.76,16,6331.661814,5627.084456,10.66798392,15.31262778,367.48,593.52,226.04,61.91535247,962.1003403,920.239985,15.76180112,19.49660985,47.2,61.04,13.84,77.32634338,88,3688.614094,3128.788368,8.998375521,13.43288841,232.92,409.92,177,56.82084309,154,1825.070283,1415.233352,7.328422274,11.45381476,123.56,249.04,125.48,49.61451976,175
09_01_A_250630103210DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,461.44,119,106.36,94,16.68,19,8.32,13,6656.643391,6036.794628,11.21402188,16.06555947,375.76,593.6,217.84,63.30188679,825.4039231,793.1714068,14.8453943,20.40049915,38.88,55.6,16.72,69.92805755,76,4489.274001,3941.019828,9.893498768,14.83594273,265.64,453.76,188.12,58.54196051,134,1824.987994,1459.186636,7.57130764,12.48448525,116.88,241.04,124.16,48.4898772,202
08_04_A_250630101219DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,437.96,124,138.04,100,4.68,8,12.04,21,7450.945078,6896.457609,12.55382309,16.23765683,424.72,593.52,168.8,71.55950937,973.880716,957.3789625,20.52868288,22.92574144,41.76,47.44,5.68,88.02698145,83,4676.285459,4169.288834,10.38897507,14.10449538,295.6,450.12,154.52,65.67137652,177,2209.423435,1856.853456,8.276234024,11.64025486,159.52,266.96,107.44,59.7542703,232
07_03_A_250630101126DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,483.16,75,84,61,20.48,15,4.56,7,4804.709091,4000.763336,8.102376208,12.82295941,312,593,281,52.61382799,580.9032007,551.1612375,13.68763432,16.90678643,32.6,42.44,9.84,76.81432611,56,2971.769506,2320.074585,7.169874315,11.72228468,197.92,414.48,216.56,47.75139934,114,1538.665986,1064.692919,5.90522715,10.24925798,103.88,260.56,156.68,39.86797667,139
06_02_A_250630101054DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,450.2,115,128.32,109,12.2,7,2.08,5,8162.469668,7599.228452,13.75079122,18.65665435,407.32,593.6,186.28,68.61859838,1003.067363,997.19063,25.30442388,26.18672873,38.08,39.64,1.56,96.06458123,96,5079.294627,4557.876273,11.30943763,16.38580771,278.16,449.12,170.96,61.93444959,192,2204.216114,1835.817088,8.709562645,13.40012473,137,253.08,116.08,54.13308045,236
05_01_A_250630101023DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,438.96,110.5,109.16,76,24.16,15.5,20.08,25,5879.242709,5191.483374,9.911731589,14.58118013,356.04,593.16,237.12,60.02427676,1117.602415,1038.428345,12.01723026,16.74884428,62,93,31,66.66666667,105,3346.457375,2833.942134,8.667782261,13.39545346,211.56,386.08,174.52,54.79693328,137,1507.051268,1177.258779,6.787296289,11.52819016,102.12,222.04,119.92,45.9917132,142
04_04_A_250630094705DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,477.28,108,76.32,61,14.76,13,23.8,36,4293.804211,3474.927787,7.241304997,12.50513814,277.88,592.96,315.08,46.86319482,694.1055799,567.6851158,7.014001414,14.7527317,38.48,98.96,60.48,38.88439774,64,2469.486736,1929.443911,6.813504954,11.67096486,165.32,362.44,197.12,45.61306699,103,986.1413526,695.9286145,5.826881072,10.38079676,67.04,169.24,102.2,39.61238478,111
03_03_A_250630094619DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,457.72,94.5,110.84,78,15.6,15,8.84,13.5,6043.174351,5324.809081,10.17712083,15.08615447,352.96,593.8,240.84,59.44088919,1003.984835,960.8619913,14.14860252,17.1460027,56.04,70.96,14.92,78.9740699,80,3725.400681,3107.276154,8.658889646,13.79295168,225.28,430.24,204.96,52.36147267,142,1728.691656,1313.445845,6.770686417,11.33062323,115.92,255.32,139.4,45.40184866,173
02_02_A_250630094505DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,476.24,104,84,77,17.64,13,14.84,19,6527.700524,5865.267034,10.99828232,15.9122817,368.6,593.52,224.92,62.10405715,1082.936314,1022.869417,14.15233029,18.18757853,56.24,76.52,20.28,73.49712493,93,3689.276195,3205.176992,9.780689806,14.57163572,219.96,377.2,157.24,58.31389183,163,1692.921627,1349.802648,7.368217388,12.0950058,111.6,229.76,118.16,48.5724234,189
01_01_A_250630094421DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,457.68,107.5,111.72,85,7.88,10,14.84,19.5,6405.018729,5731.048506,10.80250072,15.62274699,366.84,592.92,226.08,61.87006679,852.4583548,802.8275725,13.64369966,18.41347643,43.6,62.48,18.88,69.78233035,72,4072.042575,3506.985491,9.440885133,14.38468208,243.8,431.32,187.52,56.5241584,135,1901.936285,1514.010002,7.355879816,11.78034549,128.52,258.56,130.04,49.70606436,193
